iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00048850,00043383,00054807,00043383,00043383,0.97,1.87
00000002,00047302,00041713,00053096,00041713,00041713,0.97,2.96
00000003,00050097,00044479,00055462,00041713,00041713,0.97,3.58
00000004,00048784,00041175,00057947,00041175,00041175,0.97,4.40
00000005,00048403,00041370,00058838,00041175,00041175,0.97,4.88
00000006,00048261,00040832,00055304,00040832,00040832,0.97,5.52
00000007,00048142,00042146,00059015,00040832,00040832,0.97,5.89
00000008,00047966,00039897,00059553,00039897,00039897,0.97,6.31
00000009,00046923,00040118,00055065,00039897,00039897,0.97,6.58
00000010,00047523,00042728,00053253,00039897,00039897,0.97,6.78
00000011,00046536,00036965,00052133,00036965,00036965,0.97,7.08
00000012,00046809,00039327,00051900,00036965,00036965,0.97,7.23
00000013,00047585,00042143,00057635,00036965,00036965,0.97,7.37
00000014,00046543,00038320,00053199,00036965,00036965,0.97,7.36
00000015,00047448,00039331,00056107,00036965,00036965,0.97,7.25
00000016,00047306,00039777,00054838,00036965,00036965,0.97,7.16
00000017,00047357,00041345,00053929,00036965,00036965,0.97,6.63
00000018,00046910,00039231,00055114,00036965,00036965,0.97,6.15
00000019,00046105,00039284,00053864,00036965,00036965,0.97,5.88
00000020,00046412,00037501,00054398,00036965,00036965,0.97,5.61
00000021,00045229,00040565,00052147,00036965,00036965,0.97,5.55
00000022,00046905,00039618,00051498,00036965,00036965,0.97,5.57
00000023,00044898,00038567,00050862,00036965,00036965,0.97,5.47
00000024,00045551,00039735,00052304,00036965,00036965,0.97,5.28
00000025,00047148,00041044,00052120,00036965,00036965,0.97,5.37
00000026,00045534,00040776,00052199,00036965,00036965,0.97,5.11
00000027,00046115,00040555,00056717,00036965,00036965,0.97,5.02
00000028,00045433,00039474,00058552,00036965,00036965,0.97,4.90
00000029,00045377,00040462,00052096,00036965,00036965,0.97,4.85
00000030,00046471,00041125,00053537,00036965,00036965,0.97,4.76
00000031,00046309,00040206,00054061,00036965,00036965,0.97,4.67
00000032,00045296,00038694,00050965,00036965,00036965,0.97,4.57
00000033,00046804,00039306,00056144,00036965,00036965,0.97,4.53
00000034,00046242,00037437,00052244,00036965,00036965,0.97,4.44
00000035,00046197,00038223,00053613,00036965,00036965,0.97,4.42
00000036,00046626,00039750,00055352,00036965,00036965,0.97,4.38
00000037,00044461,00036979,00051606,00036965,00036965,0.97,4.37
00000038,00046538,00039625,00055185,00036965,00036965,0.97,4.42
00000039,00046385,00041315,00052520,00036965,00036965,0.97,4.43
00000040,00045060,00038440,00052957,00036965,00036965,0.97,4.49
00000041,00045398,00039151,00053180,00036965,00036965,0.98,4.49
00000042,00044602,00037418,00051973,00036965,00036965,0.97,4.49
00000043,00044909,00039020,00055548,00036965,00036965,0.97,4.46
00000044,00047179,00042159,00054156,00036965,00036965,0.97,4.51
00000045,00045049,00037404,00050122,00036965,00036965,0.97,4.52
00000046,00044583,00037782,00052099,00036965,00036965,0.97,4.53
00000047,00044216,00038499,00052950,00036965,00036965,0.97,4.50
00000048,00044631,00038523,00051876,00036965,00036965,0.97,4.51
00000049,00045650,00039755,00056713,00036965,00036965,0.97,4.59
00000050,00046283,00041465,00053579,00036965,00036965,0.97,4.69
00000051,00045200,00037982,00054616,00036965,00036965,0.97,4.57
00000052,00044669,00037399,00056102,00036965,00036965,0.97,4.60
00000053,00045634,00038687,00058067,00036965,00036965,0.97,4.60
00000054,00044850,00036838,00056862,00036838,00036838,0.97,4.67
00000055,00044372,00038996,00053627,00036838,00036838,0.97,4.69
00000056,00044868,00038064,00052004,00036838,00036838,0.97,4.68
