iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00060939,00047762,00075572,00047762,00047762,0.95,1.66
00000002,00058369,00050671,00068065,00047762,00047762,0.94,2.22
00000003,00058058,00049283,00066125,00047762,00047762,0.95,2.66
00000004,00058521,00049089,00071660,00047762,00047762,0.95,3.12
00000005,00057486,00046281,00069848,00046281,00046281,0.95,3.74
00000006,00054932,00047662,00066683,00046281,00046281,0.95,4.05
00000007,00056501,00046000,00064532,00046000,00046000,0.95,4.43
00000008,00058088,00046685,00070225,00046000,00046000,0.95,4.60
00000009,00056988,00049962,00071234,00046000,00046000,0.95,4.75
00000010,00056933,00047357,00066412,00046000,00046000,0.95,4.79
00000011,00059335,00043872,00072573,00043872,00043872,0.95,4.95
00000012,00056121,00047833,00071184,00043872,00043872,0.95,4.78
00000013,00059545,00049079,00070178,00043872,00043872,0.94,4.67
00000014,00057481,00045072,00069870,00043872,00043872,0.95,4.66
00000015,00057352,00046363,00067971,00043872,00043872,0.95,4.65
00000016,00056500,00045071,00066047,00043872,00043872,0.95,4.64
00000017,00057181,00045383,00069268,00043872,00043872,0.95,4.70
00000018,00055071,00041986,00061692,00041986,00041986,0.95,4.71
00000019,00056435,00042557,00070469,00041986,00041986,0.95,4.65
00000020,00055830,00046238,00066791,00041986,00041986,0.95,4.60
00000021,00055941,00043897,00066207,00041986,00041986,0.95,4.47
00000022,00055551,00047870,00063085,00041986,00041986,0.95,4.32
00000023,00055595,00048515,00066140,00041986,00041986,0.95,4.33
00000024,00053891,00047323,00065758,00041986,00041986,0.94,4.35
00000025,00056708,00047763,00065034,00041986,00041986,0.95,4.33
00000026,00055235,00042981,00066987,00041986,00041986,0.95,4.32
00000027,00055114,00044648,00063979,00041986,00041986,0.95,4.21
00000028,00055323,00042896,00065597,00041986,00041986,0.94,4.18
00000029,00053395,00044284,00063166,00041986,00041986,0.95,4.13
00000030,00054926,00044681,00067308,00041986,00041986,0.94,4.08
00000031,00054199,00044367,00065990,00041986,00041986,0.95,4.17
00000032,00051977,00041276,00061259,00041276,00041276,0.95,4.16
00000033,00053487,00040404,00069828,00040404,00040404,0.94,4.21
00000034,00054911,00044729,00061199,00040404,00040404,0.95,4.20
00000035,00054665,00040803,00066606,00040404,00040404,0.94,4.15
00000036,00055124,00043613,00067310,00040404,00040404,0.94,4.13
00000037,00054206,00045519,00061910,00040404,00040404,0.94,4.14
00000038,00054187,00040492,00065522,00040404,00040404,0.94,4.14
00000039,00053030,00046866,00059879,00040404,00040404,0.94,4.13
00000040,00053646,00046310,00062011,00040404,00040404,0.94,4.12
00000041,00053644,00037500,00067216,00037500,00037500,0.94,4.21
00000042,00052193,00043970,00059433,00037500,00037500,0.94,4.18
00000043,00051583,00043520,00061460,00037500,00037500,0.94,4.21
00000044,00051476,00041384,00060349,00037500,00037500,0.95,4.20
00000045,00054305,00040014,00069191,00037500,00037500,0.94,4.17
00000046,00053437,00040279,00064234,00037500,00037500,0.95,4.12
00000047,00053410,00040062,00063271,00037500,00037500,0.95,4.11
00000048,00050483,00040611,00064129,00037500,00037500,0.94,4.05
00000049,00051832,00039567,00061450,00037500,00037500,0.94,4.03
00000050,00051374,00042631,00064462,00037500,00037500,0.95,4.04
00000051,00050562,00041789,00063363,00037500,00037500,0.93,4.00
00000052,00051954,00041541,00061365,00037500,00037500,0.94,4.00
00000053,00051064,00042054,00061048,00037500,00037500,0.94,3.93
00000054,00051426,00043925,00061299,00037500,00037500,0.94,3.90
00000055,00053100,00039650,00063538,00037500,00037500,0.94,3.88
00000056,00053029,00040377,00066638,00037500,00037500,0.95,3.88
00000057,00051150,00040521,00058173,00037500,00037500,0.94,3.84
00000058,00050676,00035996,00059770,00035996,00035996,0.94,3.84
00000059,00048695,00039046,00058188,00035996,00035996,0.95,3.75
00000060,00049740,00041231,00063906,00035996,00035996,0.93,3.74
00000061,00052799,00036376,00067032,00035996,00035996,0.95,3.68
00000062,00050057,00040705,00058146,00035996,00035996,0.94,3.67
00000063,00050384,00040349,00069783,00035996,00035996,0.94,3.64
00000064,00050164,00037987,00065702,00035996,00035996,0.94,3.62
00000065,00048983,00036576,00060525,00035996,00035996,0.95,3.61
00000066,00049035,00038661,00060789,00035996,00035996,0.94,3.64
00000067,00049658,00040289,00062965,00035996,00035996,0.94,3.59
00000068,00049435,00033517,00061659,00033517,00033517,0.94,3.55
00000069,00050032,00037441,00059499,00033517,00033517,0.94,3.49
00000070,00051604,00042027,00061800,00033517,00033517,0.95,3.53
00000071,00049750,00040791,00058451,00033517,00033517,0.94,3.55
00000072,00047628,00040744,00058021,00033517,00033517,0.94,3.57
00000073,00048857,00040283,00060234,00033517,00033517,0.94,3.55
00000074,00047060,00037685,00057835,00033517,00033517,0.94,3.48
00000075,00048516,00037938,00065515,00033517,00033517,0.94,3.46
00000076,00048627,00041234,00055532,00033517,00033517,0.94,3.46
00000077,00048778,00039534,00059988,00033517,00033517,0.93,3.42
00000078,00047642,00036213,00059746,00033517,00033517,0.94,3.42
00000079,00048991,00041291,00058949,00033517,00033517,0.94,3.42
00000080,00050469,00039853,00061069,00033517,00033517,0.94,3.40
00000081,00048492,00040228,00060048,00033517,00033517,0.95,3.42
00000082,00049645,00038371,00060863,00033517,00033517,0.94,3.41
00000083,00047128,00040024,00057163,00033517,00033517,0.94,3.37
00000084,00047970,00036801,00063659,00033517,00033517,0.94,3.34
00000085,00047893,00038952,00054696,00033517,00033517,0.93,3.32
00000086,00047802,00037845,00063395,00033517,00033517,0.93,3.33
00000087,00047823,00035754,00060721,00033517,00033517,0.94,3.32
