iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00047830,00041858,00054578,00041858,00041858,0.97,0.50
00000002,00048835,00040592,00057536,00040592,00040592,0.97,0.95
00000003,00047977,00042408,00052234,00040592,00040592,0.97,0.95
00000004,00048172,00042697,00057142,00040592,00040592,0.97,0.95
00000005,00048937,00040456,00056952,00040456,00040456,0.97,1.33
00000006,00047921,00041768,00056722,00040456,00040456,0.97,1.33
00000007,00047897,00041120,00056485,00040456,00040456,0.97,1.33
00000008,00048108,00042070,00057741,00040456,00040456,0.97,1.33
00000009,00048063,00040651,00052298,00040456,00040456,0.97,1.33
00000010,00047570,00041614,00054467,00040456,00040456,0.97,1.33
00000011,00048008,00040640,00054251,00040456,00040456,0.97,1.33
00000012,00047293,00040829,00057683,00040456,00040456,0.97,1.33
00000013,00046917,00040691,00051462,00040456,00040456,0.97,1.33
00000014,00047523,00041800,00054171,00040456,00040456,0.97,1.33
00000015,00048500,00041095,00056357,00040456,00040456,0.97,1.33
00000016,00047576,00038854,00058113,00038854,00038854,0.97,1.70
00000017,00046737,00039791,00052724,00038854,00038854,0.97,1.70
00000018,00047573,00042150,00053914,00038854,00038854,0.97,1.69
00000019,00047595,00040309,00055757,00038854,00038854,0.97,1.69
00000020,00048697,00042041,00055417,00038854,00038854,0.97,1.65
00000021,00047262,00040851,00055966,00038854,00038854,0.97,1.65
00000022,00047891,00041352,00053923,00038854,00038854,0.97,1.65
00000023,00049173,00042080,00055598,00038854,00038854,0.97,1.65
00000024,00047741,00041958,00058354,00038854,00038854,0.97,1.65
00000025,00047353,00042197,00052302,00038854,00038854,0.97,1.99
00000026,00046681,00041005,00057751,00038854,00038854,0.97,1.97
00000027,00048950,00041298,00057652,00038854,00038854,0.97,1.94
00000028,00050176,00041771,00059262,00038854,00038854,0.97,1.90
00000029,00046728,00041106,00056587,00038854,00038854,0.97,1.65
00000030,00047683,00041791,00054128,00038854,00038854,0.97,1.65
00000031,00047958,00039798,00059233,00038854,00038854,0.97,1.65
00000032,00047951,00041752,00053821,00038854,00038854,0.97,1.65
00000033,00048048,00038813,00059698,00038813,00038813,0.97,1.92
00000034,00047250,00042355,00053259,00038813,00038813,0.97,1.94
00000035,00048756,00044184,00056168,00038813,00038813,0.97,1.92
00000036,00048094,00043013,00057169,00038813,00038813,0.97,1.92
00000037,00048189,00043042,00058944,00038813,00038813,0.97,1.92
00000038,00048704,00041528,00056418,00038813,00038813,0.97,1.92
00000039,00046455,00040317,00054187,00038813,00038813,0.97,1.91
00000040,00046669,00039533,00053687,00038813,00038813,0.97,1.91
00000041,00047595,00039808,00054318,00038813,00038813,0.97,1.90
00000042,00046506,00038139,00051520,00038139,00038139,0.97,2.16
00000043,00046335,00041782,00052715,00038139,00038139,0.97,2.17
00000044,00047393,00040986,00060443,00038139,00038139,0.97,2.17
00000045,00046001,00039044,00052538,00038139,00038139,0.97,2.17
00000046,00046723,00039147,00056561,00038139,00038139,0.97,2.15
00000047,00048046,00040902,00061091,00038139,00038139,0.97,2.14
00000048,00045479,00038426,00055308,00038139,00038139,0.97,2.11
00000049,00047013,00039092,00053128,00038139,00038139,0.97,2.11
00000050,00047091,00041390,00059514,00038139,00038139,0.97,2.33
00000051,00046122,00039938,00055065,00038139,00038139,0.97,2.33
00000052,00046044,00040903,00055177,00038139,00038139,0.97,2.29
00000053,00046005,00040721,00053432,00038139,00038139,0.97,2.29
00000054,00045858,00037648,00054616,00037648,00037648,0.97,2.51
00000055,00047133,00041581,00054683,00037648,00037648,0.97,2.51
00000056,00045941,00040253,00052786,00037648,00037648,0.97,2.51
00000057,00046315,00038256,00056001,00037648,00037648,0.97,2.49
00000058,00047077,00039082,00056765,00037648,00037648,0.97,2.49
00000059,00045669,00039428,00055112,00037648,00037648,0.97,2.49
00000060,00047954,00042467,00060665,00037648,00037648,0.97,2.47
00000061,00043556,00038685,00051214,00037648,00037648,0.97,2.46
00000062,00046863,00039992,00055898,00037648,00037648,0.97,2.44
00000063,00046469,00040339,00054113,00037648,00037648,0.97,2.37
00000064,00047654,00038831,00055020,00037648,00037648,0.97,2.35
00000065,00045399,00038119,00051168,00037648,00037648,0.97,2.33
00000066,00046027,00037975,00052943,00037648,00037648,0.97,2.32
00000067,00045157,00038538,00049842,00037648,00037648,0.97,2.31
00000068,00045880,00039247,00056097,00037648,00037648,0.97,2.19
00000069,00046627,00038637,00055389,00037648,00037648,0.97,2.19
00000070,00045512,00039790,00052486,00037648,00037648,0.97,2.03
00000071,00045760,00039895,00052813,00037648,00037648,0.97,2.02
00000072,00047353,00039717,00058436,00037648,00037648,0.97,2.01
00000073,00046742,00038850,00059009,00037648,00037648,0.97,2.01
00000074,00046972,00038210,00055621,00037648,00037648,0.97,2.01
00000075,00044304,00039670,00051457,00037648,00037648,0.97,2.15
00000076,00046682,00041991,00056783,00037648,00037648,0.97,2.12
00000077,00045522,00041134,00050099,00037648,00037648,0.97,2.01
00000078,00045606,00037973,00056412,00037648,00037648,0.97,1.99
00000079,00046029,00040407,00054661,00037648,00037648,0.97,1.99
00000080,00045183,00040005,00053163,00037648,00037648,0.97,1.99
00000081,00045940,00038853,00056292,00037648,00037648,0.97,1.99
00000082,00044452,00038375,00051134,00037648,00037648,0.97,1.98
00000083,00044870,00039689,00057444,00037648,00037648,0.97,1.97
00000084,00045137,00040141,00052582,00037648,00037648,0.97,1.97
00000085,00046628,00040591,00055820,00037648,00037648,0.97,1.97
00000086,00045081,00038426,00052371,00037648,00037648,0.97,1.97
00000087,00045177,00039696,00051769,00037648,00037648,0.97,1.97
00000088,00044923,00039666,00051561,00037648,00037648,0.97,1.97
00000089,00045187,00038251,00052631,00037648,00037648,0.97,1.96
00000090,00045378,00040559,00058995,00037648,00037648,0.97,1.96
00000091,00045415,00036401,00053879,00036401,00036401,0.97,2.00
00000092,00045054,00039194,00052279,00036401,00036401,0.97,2.21
00000093,00045320,00037680,00056016,00036401,00036401,0.97,2.21
00000094,00044971,00038894,00052231,00036401,00036401,0.97,2.21
00000095,00045040,00038763,00054669,00036401,00036401,0.97,2.21
00000096,00046085,00039975,00058050,00036401,00036401,0.97,2.20
