iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00059192,00048732,00075060,00048732,00048732,0.95,0.50
00000002,00058736,00043665,00067347,00043665,00043665,0.94,0.86
00000003,00058745,00046493,00069806,00043665,00043665,0.95,0.86
00000004,00061371,00049493,00074283,00043665,00043665,0.94,0.86
00000005,00059499,00051079,00076207,00043665,00043665,0.94,0.86
00000006,00060213,00052785,00068620,00043665,00043665,0.95,0.86
00000007,00060681,00052461,00073262,00043665,00043665,0.94,0.86
00000008,00059188,00046335,00069799,00043665,00043665,0.93,0.86
00000009,00059201,00047807,00074810,00043665,00043665,0.94,0.86
00000010,00058513,00044954,00068860,00043665,00043665,0.93,0.86
00000011,00057840,00045437,00070218,00043665,00043665,0.94,0.86
00000012,00060441,00046925,00077369,00043665,00043665,0.94,0.86
00000013,00057600,00048930,00067809,00043665,00043665,0.94,0.86
00000014,00059124,00043883,00072321,00043665,00043665,0.94,0.86
00000015,00059682,00051175,00072507,00043665,00043665,0.94,0.86
00000016,00057246,00048739,00071219,00043665,00043665,0.95,0.86
00000017,00059477,00044684,00072141,00043665,00043665,0.94,0.50
00000018,00059522,00046797,00068834,00043665,00043665,0.94,0.50
00000019,00057371,00049878,00067582,00043665,00043665,0.94,0.50
00000020,00059880,00046578,00074188,00043665,00043665,0.95,0.50
00000021,00056408,00045341,00071494,00043665,00043665,0.94,0.50
00000022,00059512,00049296,00068873,00043665,00043665,0.94,0.50
00000023,00057212,00046021,00068793,00043665,00043665,0.94,0.50
00000024,00058076,00047557,00068564,00043665,00043665,0.94,0.50
00000025,00058334,00048267,00070501,00043665,00043665,0.93,0.51
00000026,00056605,00040597,00073588,00040597,00040597,0.93,0.84
00000027,00057585,00045038,00067106,00040597,00040597,0.94,0.84
00000028,00056874,00046670,00069783,00040597,00040597,0.94,0.84
00000029,00056556,00042996,00066646,00040597,00040597,0.94,0.84
00000030,00056647,00047642,00069169,00040597,00040597,0.94,0.84
00000031,00057230,00046319,00069168,00040597,00040597,0.94,0.84
00000032,00055124,00042068,00067380,00040597,00040597,0.93,0.84
00000033,00054692,00041659,00064194,00040597,00040597,0.94,0.84
00000034,00056269,00041550,00065048,00040597,00040597,0.94,0.84
00000035,00056226,00043774,00070310,00040597,00040597,0.93,0.84
00000036,00055344,00043431,00070108,00040597,00040597,0.94,0.84
00000037,00056405,00046217,00068302,00040597,00040597,0.94,0.84
00000038,00057465,00047897,00065592,00040597,00040597,0.94,0.84
00000039,00055576,00042927,00068737,00040597,00040597,0.93,0.84
00000040,00055267,00044767,00066728,00040597,00040597,0.94,0.84
00000041,00056111,00043593,00068313,00040597,00040597,0.94,0.84
00000042,00053743,00039846,00064637,00039846,00039846,0.94,1.07
00000043,00056060,00047978,00066418,00039846,00039846,0.94,1.12
00000044,00053900,00042413,00064718,00039846,00039846,0.94,1.12
00000045,00054721,00043696,00067759,00039846,00039846,0.94,1.12
00000046,00054901,00043238,00074177,00039846,00039846,0.94,1.12
00000047,00055694,00042297,00068116,00039846,00039846,0.94,1.12
00000048,00053600,00044782,00066291,00039846,00039846,0.94,1.12
00000049,00053728,00043659,00064523,00039846,00039846,0.94,1.12
00000050,00055192,00043034,00068906,00039846,00039846,0.94,1.25
00000051,00055199,00042386,00065319,00039846,00039846,0.94,1.25
00000052,00054171,00043702,00065213,00039846,00039846,0.94,1.24
00000053,00057398,00047449,00067523,00039846,00039846,0.94,1.24
00000054,00055572,00047431,00068631,00039846,00039846,0.95,1.24
00000055,00055314,00046004,00068123,00039846,00039846,0.94,1.24
00000056,00055579,00045834,00063786,00039846,00039846,0.94,1.24
00000057,00052436,00043336,00064365,00039846,00039846,0.95,1.23
00000058,00053993,00045160,00061626,00039846,00039846,0.95,1.23
00000059,00053089,00044363,00060563,00039846,00039846,0.94,1.23
00000060,00053143,00045321,00060634,00039846,00039846,0.94,1.21
00000061,00053863,00043388,00061844,00039846,00039846,0.94,1.12
00000062,00053657,00040187,00064270,00039846,00039846,0.95,1.12
00000063,00052712,00039644,00064481,00039644,00039644,0.94,1.26
00000064,00054367,00042621,00064506,00039644,00039644,0.94,1.28
00000065,00054690,00045584,00068236,00039644,00039644,0.94,1.28
00000066,00051628,00040836,00060161,00039644,00039644,0.95,1.28
00000067,00054731,00044909,00068529,00039644,00039644,0.94,1.28
00000068,00052482,00040795,00066112,00039644,00039644,0.94,1.28
00000069,00053023,00038359,00063824,00038359,00038359,0.94,1.43
00000070,00052925,00043218,00062701,00038359,00038359,0.94,1.51
00000071,00053730,00046196,00064379,00038359,00038359,0.94,1.51
00000072,00052614,00038827,00063881,00038359,00038359,0.93,1.51
00000073,00050980,00041968,00062166,00038359,00038359,0.94,1.51
00000074,00052838,00044949,00065450,00038359,00038359,0.94,1.51
00000075,00050738,00040523,00061111,00038359,00038359,0.93,1.62
00000076,00051023,00039396,00064331,00038359,00038359,0.94,1.61
00000077,00050462,00036310,00065928,00036310,00036310,0.94,1.72
00000078,00048861,00040292,00056932,00036310,00036310,0.93,1.75
00000079,00051570,00038579,00069459,00036310,00036310,0.94,1.75
00000080,00053895,00041544,00064451,00036310,00036310,0.93,1.75
00000081,00052669,00040761,00065362,00036310,00036310,0.94,1.75
00000082,00051890,00040360,00065992,00036310,00036310,0.94,1.74
00000083,00050846,00040306,00062886,00036310,00036310,0.94,1.74
00000084,00051311,00041429,00062835,00036310,00036310,0.93,1.74
00000085,00051156,00043379,00064209,00036310,00036310,0.94,1.74
00000086,00049479,00039708,00057568,00036310,00036310,0.94,1.73
00000087,00051123,00040836,00062278,00036310,00036310,0.94,1.71
00000088,00047413,00038794,00058602,00036310,00036310,0.93,1.70
00000089,00051956,00043835,00060567,00036310,00036310,0.94,1.70
00000090,00048844,00035985,00063080,00035985,00035985,0.93,1.79
00000091,00050477,00043064,00064722,00035985,00035985,0.93,1.83
00000092,00047952,00038313,00062208,00035985,00035985,0.94,1.83
00000093,00048683,00040922,00057261,00035985,00035985,0.92,1.83
00000094,00050204,00039536,00062778,00035985,00035985,0.93,1.83
00000095,00049512,00042092,00059077,00035985,00035985,0.92,1.83
00000096,00047986,00038806,00057706,00035985,00035985,0.93,1.83
00000097,00047953,00036327,00058000,00035985,00035985,0.93,1.83
00000098,00048553,00042845,00054967,00035985,00035985,0.93,1.82
00000099,00047882,00031186,00059323,00031186,00031186,0.93,1.83
00000100,00049719,00042198,00065246,00031186,00031186,0.93,1.87
00000101,00049471,00039792,00060417,00031186,00031186,0.93,1.87
00000102,00050021,00040754,00058088,00031186,00031186,0.91,1.87
00000103,00049046,00039635,00061635,00031186,00031186,0.93,1.87
00000104,00046962,00036168,00057302,00031186,00031186,0.93,1.87
00000105,00047881,00035835,00057629,00031186,00031186,0.92,1.86
00000106,00048096,00036271,00057146,00031186,00031186,0.92,1.86
00000107,00047705,00034318,00058759,00031186,00031186,0.94,1.86
00000108,00047973,00038200,00055247,00031186,00031186,0.94,1.86
00000109,00046950,00036291,00061134,00031186,00031186,0.92,1.85
00000110,00047864,00035758,00060876,00031186,00031186,0.92,1.85
00000111,00048430,00036889,00057754,00031186,00031186,0.92,1.84
00000112,00047725,00034230,00061793,00031186,00031186,0.93,1.84
00000113,00048167,00039159,00061006,00031186,00031186,0.93,1.83
00000114,00046438,00039462,00053361,00031186,00031186,0.93,1.83
00000115,00045846,00038843,00056207,00031186,00031186,0.93,1.83
00000116,00046563,00037907,00059800,00031186,00031186,0.92,1.83
00000117,00047877,00040040,00056317,00031186,00031186,0.92,1.83
00000118,00046981,00034141,00059752,00031186,00031186,0.92,1.83
00000119,00046951,00036369,00064661,00031186,00031186,0.92,1.83
00000120,00047015,00036539,00060200,00031186,00031186,0.91,1.83
00000121,00046112,00034706,00053483,00031186,00031186,0.92,1.82
00000122,00046543,00038462,00053794,00031186,00031186,0.92,1.82
00000123,00045486,00032357,00064532,00031186,00031186,0.92,1.82
00000124,00046973,00036456,00057895,00031186,00031186,0.91,1.82
00000125,00045484,00033347,00058965,00031186,00031186,0.91,1.77
00000126,00045787,00036496,00053660,00031186,00031186,0.92,1.75
00000127,00044329,00031186,00057432,00031186,00031186,0.91,1.74
00000128,00045497,00034277,00056058,00031186,00031186,0.92,1.73
00000129,00045351,00036084,00058802,00031186,00031186,0.92,1.73
00000130,00043954,00034775,00054484,00031186,00031186,0.91,1.68
00000131,00044775,00034628,00054203,00031186,00031186,0.92,1.66
00000132,00045957,00040293,00053847,00031186,00031186,0.91,1.63
00000133,00045667,00035849,00054335,00031186,00031186,0.91,1.61
00000134,00044256,00036568,00056047,00031186,00031186,0.92,1.55
00000135,00046276,00033911,00057118,00031186,00031186,0.91,1.50
00000136,00044493,00036174,00054574,00031186,00031186,0.92,1.47
00000137,00043457,00033736,00050242,00031186,00031186,0.92,1.43
00000138,00044328,00034524,00050820,00031186,00031186,0.91,1.37
00000139,00044120,00036753,00055398,00031186,00031186,0.89,1.34
00000140,00044427,00035760,00056633,00031186,00031186,0.92,1.33
00000141,00043757,00032259,00054250,00031186,00031186,0.91,1.29
00000142,00045199,00034147,00054874,00031186,00031186,0.92,1.28
00000143,00043487,00031186,00052450,00031186,00031186,0.90,1.27
00000144,00043832,00035550,00049924,00031186,00031186,0.91,1.27
00000145,00043486,00034698,00053140,00031186,00031186,0.91,1.24
00000146,00044120,00034950,00058154,00031186,00031186,0.91,1.24
00000147,00043262,00035929,00051221,00031186,00031186,0.91,1.24
00000148,00043252,00034322,00052661,00031186,00031186,0.91,1.24
00000149,00043405,00036371,00053212,00031186,00031186,0.91,1.24
00000150,00043430,00033426,00053612,00031186,00031186,0.91,1.25
00000151,00044092,00031841,00052916,00031186,00031186,0.91,1.25
00000152,00041678,00031186,00051266,00031186,00031186,0.90,1.25
00000153,00042197,00031186,00049038,00031186,00031186,0.90,1.24
00000154,00043984,00031186,00052965,00031186,00031186,0.89,1.24
00000155,00043209,00035688,00057350,00031186,00031186,0.88,1.23
00000156,00041890,00031186,00055739,00031186,00031186,0.88,1.20
00000157,00040397,00032200,00047961,00031186,00031186,0.91,1.16
00000158,00043179,00034128,00058590,00031186,00031186,0.90,1.12
00000159,00041191,00031186,00054679,00031186,00031186,0.88,1.11
00000160,00040329,00031186,00053662,00031186,00031186,0.84,1.10
00000161,00041071,00033474,00049387,00031186,00031186,0.86,1.08
00000162,00040544,00032713,00048226,00031186,00031186,0.86,1.04
00000163,00043482,00033149,00051364,00031186,00031186,0.88,1.01
00000164,00041294,00031186,00048673,00031186,00031186,0.88,1.00
00000165,00041969,00035510,00046727,00031186,00031186,0.90,1.00
00000166,00042418,00034006,00051598,00031186,00031186,0.88,1.00
00000167,00039743,00030971,00054253,00030971,00030971,0.85,0.99
00000168,00041713,00031125,00053460,00030971,00030971,0.88,1.01
00000169,00041376,00033149,00051824,00030971,00030971,0.87,0.97
00000170,00042638,00035330,00050516,00030971,00030971,0.86,0.96
00000171,00040880,00031186,00048141,00030971,00030971,0.89,0.92
00000172,00040898,00031303,00048367,00030971,00030971,0.88,0.91
00000173,00041400,00031186,00051181,00030971,00030971,0.89,0.89
00000174,00039176,00030458,00052912,00030458,00030458,0.82,0.90
00000175,00040347,00031343,00047582,00030458,00030458,0.87,0.89
00000176,00041998,00032207,00053046,00030458,00030458,0.87,0.90
00000177,00038200,00030458,00053604,00030458,00030458,0.86,0.88
00000178,00039691,00030865,00054530,00030458,00030458,0.86,0.86
00000179,00039851,00030971,00050218,00030458,00030458,0.88,0.86
00000180,00041093,00031186,00049889,00030458,00030458,0.87,0.85
00000181,00040682,00031211,00052695,00030458,00030458,0.88,0.84
00000182,00040159,00031186,00050698,00030458,00030458,0.87,0.84
00000183,00039240,00030458,00047361,00030458,00030458,0.86,0.78
00000184,00040445,00031186,00047947,00030458,00030458,0.88,0.77
00000185,00039403,00030458,00050861,00030458,00030458,0.88,0.77
00000186,00040076,00034288,00048870,00030458,00030458,0.85,0.77
00000187,00040594,00030458,00052526,00030458,00030458,0.86,0.77
00000188,00039526,00030458,00052958,00030458,00030458,0.86,0.76
00000189,00041765,00031186,00050095,00030458,00030458,0.84,0.75
00000190,00038219,00031186,00046720,00030458,00030458,0.84,0.74
00000191,00040176,00030458,00051037,00030458,00030458,0.86,0.73
00000192,00039725,00031186,00049975,00030458,00030458,0.84,0.73
00000193,00039267,00030458,00055498,00030458,00030458,0.83,0.73
00000194,00039496,00030458,00050893,00030458,00030458,0.86,0.73
00000195,00040733,00033149,00053199,00030458,00030458,0.87,0.72
