iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00082394,00069715,00097117,00068471,00068471,0.97,1.35
00000002,00081623,00069254,00095435,00067252,00067252,0.97,2.09
00000003,00081600,00069390,00094528,00066441,00066441,0.97,2.74
00000004,00081824,00070212,00094555,00065890,00065890,0.97,3.34
00000005,00081110,00069275,00094748,00065685,00065685,0.97,3.88
00000006,00081148,00069030,00094984,00065104,00065104,0.97,4.39
00000007,00080689,00068952,00092437,00064777,00064777,0.97,4.86
00000008,00080773,00068254,00093811,00064093,00064093,0.96,5.31
00000009,00080474,00068272,00094325,00063983,00063983,0.96,5.72
00000010,00080382,00068006,00093624,00063680,00063680,0.96,6.09
00000011,00080715,00067711,00094130,00063303,00063303,0.96,6.35
00000012,00080151,00067654,00093531,00063051,00063051,0.96,6.48
00000013,00079545,00067426,00092494,00062845,00062845,0.96,6.36
00000014,00079573,00066826,00094360,00062684,00062684,0.96,6.08
00000015,00079531,00068494,00091902,00062394,00062394,0.96,5.65
00000016,00079716,00067496,00092967,00062394,00062394,0.96,5.24
00000017,00079211,00067657,00093811,00062171,00062171,0.96,4.91
00000018,00078917,00066925,00092344,00062059,00062059,0.96,4.77
00000019,00078592,00067617,00092122,00061996,00061996,0.96,4.69
00000020,00078818,00067492,00091869,00061816,00061816,0.96,4.64
00000021,00078342,00066082,00092056,00061610,00061610,0.96,4.63
00000022,00078194,00066014,00090654,00061240,00061240,0.96,4.64
00000023,00078236,00066726,00091891,00061185,00061185,0.96,4.68
00000024,00077981,00066156,00090656,00061099,00061099,0.96,4.70
00000025,00078078,00065264,00092625,00060974,00060974,0.96,4.76
00000026,00077795,00066781,00089965,00060974,00060974,0.96,4.75
00000027,00077492,00065256,00089966,00060447,00060447,0.96,4.75
00000028,00077146,00065184,00088848,00060344,00060344,0.96,4.76
00000029,00076948,00064949,00089303,00060081,00060081,0.96,4.77
00000030,00076641,00064168,00090181,00059658,00059658,0.96,4.78
00000031,00076156,00064787,00089892,00059503,00059503,0.96,4.80
00000032,00076162,00064492,00088446,00059394,00059394,0.96,4.81
00000033,00075731,00063944,00087947,00059255,00059255,0.96,4.82
00000034,00075615,00063675,00087405,00059175,00059175,0.96,4.81
00000035,00076019,00064732,00088101,00059131,00059131,0.96,4.79
00000036,00075518,00063540,00087751,00058706,00058706,0.96,4.77
00000037,00075515,00063808,00088158,00058629,00058629,0.96,4.76
00000038,00075059,00063588,00087852,00058426,00058426,0.96,4.75
00000039,00074881,00063694,00087505,00058331,00058331,0.96,4.74
00000040,00074091,00062564,00086232,00058064,00058064,0.96,4.72
00000041,00073745,00062246,00086657,00058038,00058038,0.96,4.70
00000042,00074496,00063024,00086813,00057994,00057994,0.96,4.67
00000043,00074020,00062490,00085734,00057923,00057923,0.96,4.65
00000044,00074308,00063348,00087563,00057901,00057901,0.96,4.64
00000045,00073398,00061402,00086835,00057711,00057711,0.96,4.62
00000046,00073868,00062609,00086112,00057697,00057697,0.96,4.59
00000047,00073967,00062022,00087396,00057594,00057594,0.96,4.56
00000048,00073307,00061513,00086312,00057398,00057398,0.96,4.54
00000049,00072802,00062366,00085167,00057312,00057312,0.96,4.53
00000050,00072659,00061633,00084051,00057163,00057163,0.96,4.56
00000051,00072728,00061386,00084943,00056956,00056956,0.96,4.51
00000052,00072758,00062036,00086335,00056834,00056834,0.96,4.49
00000053,00072068,00060895,00083726,00056745,00056745,0.96,4.48
00000054,00072391,00061514,00083265,00056511,00056511,0.96,4.47
00000055,00071578,00060819,00084185,00056427,00056427,0.96,4.45
