iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00047457,00041865,00055664,00041865,00041865,0.97,0.50
00000002,00047673,00041246,00057622,00041246,00041246,0.97,0.96
00000003,00047391,00041289,00055434,00040597,00040597,0.97,1.12
00000004,00046704,00041529,00054647,00040426,00040426,0.97,1.28
00000005,00048161,00042164,00054860,00040426,00040426,0.97,1.28
00000006,00047143,00041408,00053671,00040336,00040336,0.97,1.36
00000007,00047276,00041215,00055392,00040141,00040141,0.97,1.52
00000008,00047376,00041303,00055459,00040019,00040019,0.97,1.66
00000009,00047050,00041416,00054289,00040019,00040019,0.97,1.66
00000010,00047244,00040835,00054593,00039928,00039928,0.97,1.73
00000011,00047520,00040761,00054076,00039738,00039738,0.97,1.87
00000012,00046969,00040579,00055384,00039646,00039646,0.97,1.93
00000013,00047262,00040425,00056136,00039646,00039646,0.97,1.93
00000014,00046836,00041008,00054182,00039646,00039646,0.97,1.93
00000015,00047252,00040697,00054187,00039242,00039242,0.97,2.05
00000016,00047343,00040840,00053661,00039242,00039242,0.97,2.05
00000017,00047375,00040219,00054798,00038989,00038989,0.97,2.10
00000018,00046896,00040698,00053065,00038963,00038963,0.97,2.00
00000019,00046782,00041262,00053608,00038963,00038963,0.97,1.99
00000020,00046912,00040262,00054850,00038871,00038871,0.97,2.04
00000021,00046994,00041469,00053655,00038871,00038871,0.97,2.03
00000022,00046898,00041081,00053241,00038871,00038871,0.97,2.02
00000023,00046533,00040227,00055678,00038809,00038809,0.97,2.07
00000024,00047067,00040455,00055460,00038809,00038809,0.97,2.06
00000025,00047371,00041495,00054848,00038809,00038809,0.97,2.40
00000026,00046882,00041232,00055161,00038809,00038809,0.97,2.38
00000027,00046389,00040345,00055519,00038809,00038809,0.97,2.30
00000028,00046739,00040551,00054030,00038809,00038809,0.97,2.22
00000029,00046206,00040217,00053707,00038616,00038616,0.97,2.27
00000030,00046622,00040136,00055018,00038616,00038616,0.97,2.22
00000031,00046463,00041167,00052337,00038616,00038616,0.97,2.17
00000032,00046734,00040926,00054292,00038616,00038616,0.97,2.12
00000033,00046694,00040706,00054436,00038616,00038616,0.97,2.11
00000034,00046116,00039612,00052348,00038534,00038534,0.97,2.11
00000035,00046172,00040273,00054087,00038534,00038534,0.97,2.09
00000036,00046488,00040891,00054525,00038534,00038534,0.97,1.97
00000037,00046486,00041436,00053867,00038534,00038534,0.97,1.95
00000038,00046184,00041151,00053128,00038534,00038534,0.97,1.93
00000039,00045840,00040359,00054433,00038534,00038534,0.97,1.90
