iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00041411,00037128,00046231,00037128,00037128,0.97,0.60
00000002,00041152,00037124,00046214,00036693,00036693,0.97,0.88
00000003,00041143,00037486,00046650,00036470,00036470,0.97,1.05
00000004,00041304,00037312,00047951,00036232,00036232,0.97,1.21
00000005,00040972,00036599,00046575,00036080,00036080,0.97,1.29
00000006,00040963,00037137,00046456,00036019,00036019,0.97,1.38
00000007,00041178,00036592,00046136,00035828,00035828,0.97,1.44
00000008,00041225,00037379,00046402,00035828,00035828,0.97,1.44
00000009,00041183,00037407,00046974,00035828,00035828,0.97,1.44
00000010,00041398,00036422,00048169,00035647,00035647,0.97,1.52
00000011,00041297,00037195,00046764,00035647,00035647,0.97,1.52
00000012,00041115,00037006,00047371,00035647,00035647,0.97,1.52
00000013,00040994,00036613,00046122,00035607,00035607,0.97,1.52
00000014,00041046,00036927,00047950,00035607,00035607,0.97,1.52
00000015,00041030,00036773,00046666,00035554,00035554,0.97,1.58
00000016,00041084,00037238,00047073,00035554,00035554,0.97,1.58
00000017,00040780,00036398,00046826,00035225,00035225,0.97,1.66
00000018,00041502,00037507,00047211,00035225,00035225,0.97,1.56
00000019,00040833,00036864,00046327,00035225,00035225,0.97,1.48
00000020,00040839,00036254,00046474,00035168,00035168,0.97,1.52
00000021,00040791,00036635,00046709,00035168,00035168,0.97,1.52
00000022,00040671,00036894,00045881,00035168,00035168,0.97,1.52
00000023,00041141,00036575,00047659,00035101,00035101,0.97,1.59
00000024,00040609,00036741,00046355,00035101,00035101,0.97,1.59
00000025,00040544,00036605,00045254,00035101,00035101,0.97,1.97
00000026,00040658,00036837,00046221,00035101,00035101,0.97,1.94
00000027,00040761,00037160,00046732,00035101,00035101,0.97,1.86
00000028,00040638,00036512,00047224,00035101,00035101,0.97,1.83
00000029,00040653,00036955,00046296,00035101,00035101,0.97,1.77
00000030,00040606,00037544,00045839,00035101,00035101,0.97,1.76
00000031,00040574,00036288,00046123,00035004,00035004,0.97,1.80
00000032,00040667,00036990,00046881,00035004,00035004,0.97,1.71
00000033,00040576,00036537,00047305,00035004,00035004,0.97,1.71
00000034,00040740,00036272,00045910,00035004,00035004,0.97,1.69
00000035,00040473,00036571,00047275,00035004,00035004,0.97,1.63
00000036,00040864,00036382,00047100,00034881,00034881,0.97,1.67
00000037,00040345,00035971,00045009,00034849,00034849,0.97,1.68
00000038,00040640,00036203,00047588,00034718,00034718,0.97,1.69
00000039,00040343,00036129,00047046,00034718,00034718,0.97,1.72
00000040,00040657,00036364,00046209,00034718,00034718,0.97,1.65
00000041,00040364,00036410,00046598,00034718,00034718,0.97,1.60
00000042,00040885,00036172,00047578,00034718,00034718,0.97,1.59
00000043,00040216,00036165,00046820,00034616,00034616,0.97,1.64
00000044,00040026,00036304,00045786,00034616,00034616,0.97,1.63
00000045,00039846,00036293,00045734,00034616,00034616,0.97,1.59
00000046,00040326,00036414,00046235,00034616,00034616,0.97,1.59
00000047,00039904,00035997,00045225,00034616,00034616,0.97,1.58
00000048,00040114,00035832,00046589,00034616,00034616,0.97,1.52
00000049,00039951,00035784,00045441,00034579,00034579,0.97,1.57
00000050,00040157,00036039,00045218,00034579,00034579,0.97,1.78
00000051,00039939,00036066,00046333,00034579,00034579,0.97,1.78
00000052,00039969,00036155,00045442,00034579,00034579,0.97,1.77
00000053,00039822,00036212,00046571,00034579,00034579,0.97,1.76
00000054,00039785,00036158,00046221,00034579,00034579,0.97,1.73
00000055,00039631,00035595,00045170,00034365,00034365,0.97,1.76
00000056,00039943,00035872,00046078,00034280,00034280,0.97,1.77
00000057,00040160,00035704,00046696,00034196,00034196,0.97,1.82
00000058,00039830,00035628,00046417,00034176,00034176,0.97,1.82
00000059,00039626,00035890,00045108,00034176,00034176,0.97,1.83
00000060,00039524,00035492,00047555,00034118,00034118,0.97,1.89
00000061,00039875,00035895,00046221,00034118,00034118,0.97,1.91
00000062,00039628,00035402,00047315,00034118,00034118,0.97,1.90
00000063,00039384,00035249,00044645,00034118,00034118,0.97,1.90
00000064,00039642,00035714,00045875,00034118,00034064,0.96,1.88
00000065,00039568,00035742,00045016,00034118,00034064,0.96,1.88
00000066,00039337,00035183,00044843,00034042,00033987,0.96,1.91
00000067,00039525,00035350,00045507,00034042,00033987,0.96,1.93
00000068,00039713,00035609,00045389,00034042,00033987,0.96,1.92
00000069,00039190,00035571,00045139,00034042,00033987,0.96,1.91
00000070,00039107,00034983,00044823,00033948,00033893,0.96,1.92
00000071,00038731,00035467,00043520,00033948,00033893,0.96,1.96
00000072,00039580,00035101,00044438,00033917,00033862,0.96,1.97
00000073,00039472,00035414,00045933,00033917,00033862,0.96,1.98
00000074,00038976,00035391,00044748,00033917,00033862,0.96,1.98
00000075,00039285,00035053,00044510,00033853,00033798,0.96,2.14
00000076,00039162,00035423,00046174,00033853,00033798,0.96,2.14
00000077,00039419,00035242,00046049,00033853,00033798,0.96,2.12
00000078,00039365,00035811,00044088,00033853,00033798,0.96,2.10
00000079,00038959,00035410,00045157,00033853,00033798,0.96,2.05
00000080,00039233,00035305,00046902,00033844,00033789,0.96,2.06
00000081,00038771,00034948,00044595,00033844,00033789,0.96,2.05
00000082,00039245,00034933,00045755,00033844,00033789,0.96,2.04
00000083,00039216,00034977,00047676,00033844,00033789,0.96,2.01
00000084,00038845,00034553,00043651,00033791,00033736,0.96,2.04
00000085,00038993,00035225,00044962,00033791,00033736,0.96,2.05
00000086,00038733,00034765,00043498,00033791,00033736,0.96,2.01
00000087,00039263,00035429,00044751,00033791,00033736,0.96,2.00
00000088,00038653,00034907,00044812,00033695,00033640,0.96,2.02
00000089,00038658,00035031,00043124,00033695,00033640,0.96,2.02
00000090,00038983,00035252,00043943,00033695,00033640,0.96,2.01
00000091,00038739,00034689,00044053,00033619,00033564,0.96,2.02
00000092,00038689,00034666,00046158,00033619,00033564,0.96,2.02
00000093,00038843,00035005,00044529,00033619,00033564,0.96,1.99
