iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00041249,00036493,00047826,00036493,00036493,0.97,1.83
00000002,00041179,00037023,00046095,00036373,00036373,0.97,2.70
00000003,00041209,00036851,00047562,00036272,00036272,0.97,3.51
00000004,00041091,00037411,00049113,00036272,00036272,0.97,4.11
00000005,00040810,00036730,00047080,00036272,00036272,0.97,4.64
00000006,00040990,00036401,00047412,00035990,00035990,0.97,5.21
00000007,00040726,00036775,00046420,00035963,00035963,0.97,5.64
00000008,00041362,00037210,00048180,00035717,00035717,0.97,6.00
00000009,00041064,00036803,00047538,00035695,00035695,0.97,6.34
00000010,00040835,00036474,00046994,00035352,00035352,0.97,6.61
00000011,00040477,00036133,00048718,00035298,00035298,0.97,6.82
00000012,00040514,00036328,00048927,00035243,00035243,0.97,6.92
00000013,00040377,00036424,00048082,00035243,00035243,0.97,6.87
00000014,00039879,00036242,00046372,00035243,00035243,0.97,6.69
00000015,00040047,00036666,00046448,00035243,00035243,0.97,6.50
00000016,00040552,00036201,00048817,00035239,00035239,0.97,6.42
00000017,00040467,00036593,00048578,00035239,00035239,0.97,6.39
00000018,00040450,00036239,00047046,00035239,00035239,0.97,6.34
00000019,00040618,00035602,00047872,00034958,00034958,0.97,6.32
00000020,00040167,00035954,00045590,00034958,00034958,0.97,6.19
00000021,00040366,00035816,00046144,00034783,00034783,0.97,6.17
00000022,00040410,00036353,00046255,00034783,00034783,0.97,6.14
00000023,00040095,00035679,00047062,00034781,00034781,0.97,6.09
00000024,00040327,00035917,00047637,00034781,00034781,0.97,6.05
00000025,00039949,00035944,00046908,00034625,00034625,0.97,6.09
00000026,00040068,00035365,00046793,00034625,00034625,0.97,6.07
00000027,00039729,00035391,00045886,00034492,00034492,0.97,6.12
00000028,00039922,00036176,00046814,00034492,00034492,0.97,6.15
00000029,00039748,00035682,00045778,00034492,00034492,0.97,6.17
00000030,00039844,00035949,00047826,00034492,00034492,0.97,6.22
00000031,00039736,00035771,00046181,00034435,00034435,0.97,6.25
00000032,00039626,00035559,00046273,00034435,00034435,0.97,6.27
00000033,00039365,00035493,00044819,00034300,00034300,0.97,6.33
00000034,00039355,00035690,00046449,00034300,00034300,0.97,6.32
00000035,00039093,00035471,00047957,00034300,00034300,0.97,6.30
00000036,00039816,00035965,00048397,00034300,00034300,0.97,6.25
00000037,00039790,00035567,00047501,00034300,00034300,0.97,6.21
00000038,00038988,00035099,00045336,00034300,00034300,0.97,6.17
00000039,00039363,00035089,00044213,00034300,00034300,0.97,6.12
00000040,00039121,00034878,00045666,00034241,00034241,0.97,6.06
00000041,00039240,00035202,00045531,00034241,00034241,0.97,5.97
00000042,00039100,00035508,00046031,00034241,00034241,0.97,5.93
00000043,00039189,00034736,00047994,00034081,00034081,0.97,5.89
00000044,00038666,00034561,00043782,00033904,00033904,0.97,5.86
00000045,00038827,00034726,00045138,00033895,00033895,0.97,5.83
00000046,00038935,00034774,00046022,00033716,00033716,0.97,5.81
00000047,00038662,00034821,00044711,00033647,00033647,0.97,5.80
00000048,00039179,00035118,00046075,00033647,00033647,0.97,5.81
00000049,00039069,00035053,00044000,00033647,00033647,0.97,5.83
00000050,00039265,00034844,00046638,00033484,00033484,0.97,5.87
00000051,00038348,00034407,00044749,00033484,00033484,0.97,5.85
00000052,00038798,00034558,00044273,00033484,00033484,0.97,5.81
00000053,00038359,00034276,00045237,00033399,00033399,0.97,5.84
00000054,00038598,00034929,00043340,00033399,00033399,0.97,5.84
00000055,00038595,00034003,00045147,00033242,00033242,0.97,5.85
00000056,00038466,00034016,00045401,00033176,00033176,0.97,5.82
00000057,00038422,00034629,00044126,00033176,00033176,0.97,5.82
00000058,00038871,00034671,00045999,00033176,00033176,0.97,5.79
00000059,00038394,00034569,00044679,00033176,00033176,0.97,5.79
00000060,00038539,00034737,00045521,00033176,00033176,0.97,5.77
00000061,00038302,00034026,00044571,00033109,00033109,0.97,5.77
00000062,00037635,00033999,00043895,00033109,00033109,0.97,5.76
00000063,00038084,00034212,00044101,00033107,00033107,0.97,5.73
00000064,00038193,00034263,00043106,00033107,00033205,0.96,5.70
00000065,00038064,00034118,00045700,00033087,00033184,0.96,5.70
00000066,00038264,00034101,00046769,00032938,00033036,0.96,5.71
00000067,00038267,00034188,00044465,00032938,00033036,0.96,5.68
00000068,00038134,00034367,00043405,00032938,00033036,0.96,5.66
00000069,00038242,00033955,00045729,00032938,00033036,0.96,5.66
00000070,00037789,00033762,00043426,00032938,00033036,0.96,5.64
00000071,00038193,00034256,00043977,00032938,00033036,0.96,5.62
00000072,00037645,00033704,00043991,00032938,00033036,0.96,5.59
00000073,00037670,00033592,00044065,00032742,00032839,0.96,5.58
00000074,00037813,00033984,00043903,00032619,00032717,0.96,5.58
00000075,00037964,00034208,00045092,00032619,00032717,0.96,5.59
00000076,00037499,00033917,00044122,00032619,00032717,0.96,5.58
00000077,00037631,00032913,00043645,00032393,00032491,0.96,5.58
00000078,00037471,00033239,00043522,00032265,00032363,0.96,5.56
00000079,00037066,00033311,00042438,00032185,00032283,0.96,5.54
00000080,00037224,00033296,00043626,00032185,00032283,0.96,5.51
00000081,00037122,00032766,00043439,00032185,00032283,0.96,5.50
00000082,00037229,00032788,00043647,00032148,00032246,0.96,5.49
00000083,00036923,00033406,00042956,00032148,00032246,0.96,5.46
00000084,00037484,00033298,00044176,00032148,00032246,0.96,5.45
00000085,00037275,00033037,00045363,00032063,00032161,0.96,5.44
00000086,00037119,00033323,00043591,00032063,00032161,0.96,5.46
00000087,00036983,00033137,00043381,00032012,00032109,0.96,5.45
00000088,00037358,00033558,00044356,00032012,00032109,0.96,5.44
00000089,00037299,00033270,00043548,00032012,00032109,0.96,5.43
00000090,00037475,00033206,00043743,00032012,00032109,0.96,5.42
00000091,00036777,00033421,00043208,00032012,00032109,0.96,5.41
00000092,00036821,00033151,00041742,00032012,00032109,0.96,5.38
00000093,00036859,00032538,00043363,00031869,00031966,0.96,5.36
00000094,00037062,00032383,00043943,00031754,00031852,0.96,5.37
00000095,00036870,00032409,00042595,00031643,00031741,0.96,5.34
00000096,00037072,00033340,00043632,00031643,00031741,0.96,5.33
00000097,00036832,00032681,00042370,00031609,00031707,0.96,5.30
00000098,00036626,00032532,00042110,00031599,00031697,0.96,5.28
00000099,00036859,00033052,00043868,00031599,00031697,0.96,5.26
00000100,00036566,00032586,00042478,00031599,00031697,0.96,5.26
00000101,00036527,00033060,00042442,00031599,00031697,0.96,5.21
00000102,00036327,00033037,00043415,00031599,00031697,0.96,5.16
00000103,00036263,00032545,00041930,00031599,00031697,0.96,5.13
00000104,00036217,00032415,00043366,00031498,00031596,0.96,5.11
00000105,00036650,00032892,00042492,00031498,00031596,0.96,5.08
00000106,00036545,00032576,00042554,00031498,00031596,0.96,5.06
00000107,00036560,00033078,00042062,00031498,00031596,0.96,5.03
00000108,00036547,00031890,00043643,00031438,00031536,0.96,5.02
00000109,00036753,00032908,00043434,00031438,00031536,0.96,4.99
00000110,00036776,00032474,00045570,00031438,00031536,0.96,4.97
00000111,00035784,00032346,00042181,00031438,00031536,0.96,4.94
00000112,00036350,00032476,00042042,00031438,00031536,0.96,4.94
00000113,00036712,00032147,00043409,00031260,00031358,0.96,4.92
00000114,00036556,00032110,00041983,00031260,00031358,0.96,4.89
00000115,00036320,00032532,00043582,00031260,00031358,0.96,4.87
00000116,00036499,00032575,00043978,00031260,00031358,0.96,4.84
00000117,00036468,00032620,00042471,00031260,00031358,0.96,4.82
00000118,00036063,00032049,00043387,00031260,00031358,0.96,4.81
00000119,00036235,00032603,00043517,00031260,00031358,0.96,4.80
00000120,00036428,00031709,00043494,00031160,00031257,0.96,4.79
00000121,00035736,00032375,00041171,00031160,00031257,0.96,4.78
00000122,00035814,00031951,00041784,00031132,00031230,0.96,4.78
00000123,00035549,00032645,00040956,00031132,00031230,0.96,4.78
00000124,00036049,00032524,00042980,00031132,00031230,0.96,4.74
00000125,00035938,00032016,00042340,00030972,00031070,0.96,4.74
00000126,00035898,00032317,00042408,00030972,00031070,0.96,4.69
00000127,00036332,00032473,00041755,00030972,00031070,0.96,4.66
00000128,00035819,00031499,00042284,00030761,00030977,0.95,4.64
00000129,00035996,00031846,00042692,00030761,00030977,0.94,4.61
00000130,00035613,00031732,00042272,00030761,00030977,0.95,4.60
00000131,00035671,00031680,00041952,00030761,00030977,0.94,4.58
00000132,00035734,00031917,00040362,00030761,00030977,0.94,4.59
00000133,00035977,00031719,00042811,00030761,00030977,0.95,4.60
00000134,00035856,00032443,00040975,00030761,00030977,0.95,4.58
00000135,00035534,00032116,00040605,00030761,00030977,0.95,4.57
00000136,00035561,00031908,00042264,00030761,00030977,0.94,4.57
00000137,00035615,00032640,00040906,00030761,00030977,0.94,4.55
00000138,00035846,00031514,00042805,00030670,00030885,0.94,4.55
00000139,00035490,00031784,00042220,00030562,00030777,0.94,4.53
00000140,00035870,00032115,00042677,00030562,00030777,0.94,4.51
00000141,00035347,00031373,00042359,00030444,00030659,0.94,4.50
00000142,00035233,00031903,00040594,00030444,00030659,0.95,4.48
00000143,00035959,00031906,00042039,00030444,00030659,0.95,4.46
00000144,00035629,00031886,00042986,00030444,00030659,0.95,4.45
00000145,00035350,00031592,00041843,00030444,00030659,0.94,4.43
00000146,00035938,00032052,00041808,00030444,00030659,0.94,4.42
00000147,00035117,00031184,00040736,00030376,00030591,0.94,4.40
00000148,00035347,00031309,00041499,00030376,00030591,0.94,4.39
00000149,00035275,00031479,00040961,00030376,00030591,0.94,4.39
00000150,00035127,00031551,00040629,00030359,00030574,0.94,4.39
00000151,00035462,00031622,00042578,00030359,00030574,0.94,4.35
00000152,00035025,00031309,00041323,00030359,00030574,0.94,4.34
00000153,00035485,00031375,00042530,00030359,00030574,0.94,4.31
00000154,00035418,00031669,00041572,00030359,00030574,0.94,4.31
00000155,00035223,00031574,00041432,00030359,00030574,0.94,4.29
00000156,00035741,00031614,00041726,00030359,00030574,0.94,4.28
00000157,00034949,00031025,00042493,00030139,00030355,0.94,4.28
00000158,00035266,00031724,00040834,00030139,00030355,0.94,4.27
00000159,00035617,00031608,00043522,00030139,00030355,0.95,4.24
00000160,00034826,00030948,00040635,00030139,00030355,0.94,4.22
00000161,00035160,00031781,00040910,00030139,00030355,0.94,4.20
00000162,00035374,00031576,00041320,00030139,00030355,0.94,4.19
00000163,00035243,00031680,00041571,00030139,00030355,0.94,4.19
00000164,00035428,00031652,00042338,00030139,00030355,0.94,4.17
00000165,00035338,00031222,00041030,00030139,00030355,0.94,4.15
00000166,00035254,00031199,00042094,00030069,00030285,0.94,4.12
00000167,00035081,00031796,00041063,00030069,00030285,0.94,4.12
00000168,00035155,00031598,00040930,00030069,00030285,0.94,4.10
00000169,00035117,00031007,00042424,00030069,00030285,0.95,4.10
00000170,00035172,00031311,00040560,00030069,00030285,0.94,4.09
00000171,00034792,00031403,00040446,00030069,00030285,0.95,4.08
00000172,00035070,00031573,00041463,00030069,00030285,0.94,4.06
00000173,00035289,00031596,00040895,00030069,00030285,0.94,4.06
00000174,00034689,00031596,00040680,00030069,00030285,0.94,4.04
00000175,00034998,00031018,00040473,00030069,00030285,0.94,4.05
00000176,00035374,00031843,00042533,00030069,00030285,0.94,4.03
00000177,00034425,00031268,00039695,00030069,00030285,0.94,4.01
00000178,00035220,00031518,00042301,00030069,00030285,0.94,4.01
00000179,00034542,00030840,00041871,00030069,00030285,0.94,4.01
00000180,00034834,00031316,00041413,00030069,00030285,0.94,3.99
00000181,00035531,00031739,00042540,00030069,00030285,0.94,3.98
00000182,00034633,00030856,00040343,00030047,00030262,0.94,3.97
00000183,00034820,00030797,00041368,00030003,00030218,0.94,3.95
00000184,00034804,00031073,00040187,00030003,00030218,0.94,3.96
00000185,00034546,00031342,00040025,00030003,00030218,0.94,3.94
00000186,00034957,00030753,00042969,00029841,00030056,0.94,3.94
00000187,00034860,00031555,00040805,00029841,00030056,0.94,3.92
00000188,00034758,00030911,00042016,00029841,00030056,0.94,3.91
00000189,00034948,00031249,00041040,00029841,00030056,0.94,3.88
00000190,00035106,00031223,00041750,00029841,00030056,0.94,3.87
00000191,00034934,00031506,00041612,00029841,00030056,0.94,3.83
00000192,00034893,00030651,00043519,00029752,00030391,0.93,3.80
00000193,00034813,00031077,00041844,00029752,00030391,0.93,3.78
00000194,00035051,00031026,00041421,00029752,00030391,0.93,3.76
00000195,00034564,00030938,00041047,00029752,00030391,0.93,3.75
00000196,00034915,00031214,00040843,00029752,00030391,0.93,3.75
00000197,00034517,00030909,00041098,00029692,00030331,0.93,3.75
00000198,00034614,00031321,00040567,00029692,00030331,0.93,3.73
00000199,00034691,00031147,00042170,00029692,00030331,0.93,3.73
00000200,00034562,00030937,00040483,00029634,00030273,0.93,3.74
00000201,00034541,00031076,00039480,00029634,00030273,0.93,3.73
00000202,00034657,00030803,00040895,00029634,00030273,0.93,3.72
00000203,00034519,00030962,00040085,00029634,00030273,0.93,3.69
00000204,00035116,00031514,00042805,00029634,00030273,0.93,3.69
00000205,00034786,00030668,00040936,00029634,00030273,0.93,3.69
00000206,00034662,00031103,00039881,00029634,00030273,0.93,3.68
00000207,00034927,00031184,00041171,00029634,00030273,0.93,3.66
00000208,00034430,00030979,00041404,00029634,00030273,0.93,3.64
00000209,00034413,00031057,00040572,00029634,00030273,0.93,3.63
00000210,00034660,00030722,00040404,00029634,00030273,0.93,3.60
00000211,00034848,00030823,00040781,00029634,00030273,0.93,3.58
00000212,00034499,00030961,00040462,00029634,00030273,0.93,3.57
00000213,00034481,00030863,00041837,00029634,00030273,0.93,3.55
00000214,00034762,00031077,00042827,00029634,00030273,0.93,3.53
00000215,00034581,00031332,00042588,00029634,00030273,0.93,3.50
00000216,00034356,00031428,00040704,00029634,00030273,0.93,3.49
00000217,00034797,00030904,00041799,00029634,00030273,0.93,3.46
00000218,00034217,00030906,00039703,00029634,00030273,0.93,3.47
00000219,00034003,00031121,00039576,00029634,00030273,0.93,3.45
00000220,00034628,00031247,00042067,00029634,00030273,0.93,3.44
00000221,00034668,00030899,00039713,00029634,00030273,0.93,3.44
00000222,00034548,00030729,00040004,00029634,00030273,0.93,3.43
00000223,00034742,00030835,00041647,00029634,00030273,0.93,3.42
00000224,00034677,00031172,00040267,00029634,00030273,0.93,3.42
00000225,00034737,00030637,00040905,00029604,00030243,0.93,3.42
00000226,00034711,00030714,00041623,00029604,00030243,0.93,3.38
00000227,00034678,00031056,00040864,00029604,00030243,0.93,3.35
00000228,00034455,00030973,00040717,00029604,00030243,0.93,3.34
00000229,00034458,00030970,00039541,00029604,00030243,0.93,3.33
00000230,00034258,00031193,00039672,00029604,00030243,0.93,3.31
00000231,00034844,00030756,00041327,00029604,00030243,0.93,3.29
00000232,00034385,00030740,00040849,00029604,00030243,0.93,3.29
00000233,00034473,00030774,00039351,00029604,00030243,0.93,3.28
00000234,00034650,00030405,00041834,00029604,00030243,0.93,3.28
00000235,00034044,00030685,00039576,00029604,00030243,0.93,3.29
00000236,00034606,00030942,00042508,00029604,00030243,0.93,3.27
00000237,00034264,00030655,00039324,00029604,00030243,0.93,3.26
00000238,00034531,00031217,00041437,00029604,00030243,0.93,3.25
00000239,00034175,00031022,00041339,00029604,00030243,0.93,3.25
00000240,00034223,00030577,00039675,00029604,00030243,0.93,3.25
00000241,00034300,00030813,00040587,00029604,00030243,0.93,3.26
