iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00041073,00034046,00048085,00034046,00034046,0.95,0.50
00000002,00041006,00032370,00048077,00032370,00032370,0.95,0.90
00000003,00042053,00035258,00048650,00032370,00032370,0.95,0.90
00000004,00040035,00033035,00046946,00032370,00032370,0.94,0.90
00000005,00039462,00032520,00048535,00032370,00032370,0.94,0.90
00000006,00040990,00034063,00048756,00032370,00032370,0.94,0.90
00000007,00040365,00034594,00053630,00032370,00032370,0.94,0.90
00000008,00039897,00033294,00046770,00032370,00032370,0.94,0.90
00000009,00041029,00034513,00049405,00032370,00032370,0.94,0.90
00000010,00039996,00031940,00048563,00031940,00031940,0.94,1.21
00000011,00040310,00033110,00046617,00031940,00031940,0.95,1.21
00000012,00041835,00034819,00050388,00031940,00031940,0.94,1.21
00000013,00040804,00030694,00047502,00030694,00030694,0.95,1.45
00000014,00041732,00035998,00053111,00030694,00030694,0.94,1.45
00000015,00040829,00034775,00050697,00030694,00030694,0.94,1.45
00000016,00040800,00034175,00047381,00030694,00030694,0.94,1.45
00000017,00039664,00030389,00048741,00030389,00030389,0.94,1.71
00000018,00039030,00031847,00045874,00030389,00030389,0.92,1.71
00000019,00039366,00030941,00044565,00030389,00030389,0.94,1.71
00000020,00040227,00032247,00048140,00030389,00030389,0.94,1.70
00000021,00039226,00029749,00045927,00029749,00029749,0.94,1.88
00000022,00040715,00033362,00051396,00029749,00029749,0.93,1.88
00000023,00039422,00033831,00051643,00029749,00029749,0.94,1.85
00000024,00039790,00031370,00047202,00029749,00029749,0.94,1.84
00000025,00040933,00037443,00047518,00029749,00029749,0.95,2.09
00000026,00040728,00034590,00046791,00029749,00029749,0.94,2.08
00000027,00039912,00033321,00046903,00029749,00029749,0.94,2.04
00000028,00039195,00031159,00044138,00029749,00029749,0.94,2.02
00000029,00040110,00032111,00050250,00029749,00029749,0.94,1.96
00000030,00040473,00033682,00046584,00029749,00029749,0.94,1.95
00000031,00039089,00034217,00043854,00029749,00029749,0.93,1.95
00000032,00040312,00033727,00049176,00029749,00029749,0.94,1.86
00000033,00039703,00033847,00049368,00029749,00029749,0.95,1.86
00000034,00039559,00029560,00044471,00029560,00029560,0.94,2.04
00000035,00039700,00031231,00047888,00029560,00029560,0.94,2.05
00000036,00038006,00033476,00044813,00029560,00029560,0.94,2.03
00000037,00039002,00031202,00046467,00029560,00029560,0.94,2.02
00000038,00038942,00030230,00048807,00029560,00029560,0.94,2.02
00000039,00039144,00033096,00046799,00029560,00029560,0.94,1.99
00000040,00039543,00033155,00043585,00029560,00029560,0.94,1.98
00000041,00039564,00033981,00048369,00029560,00029560,0.94,1.98
00000042,00038289,00029610,00049982,00029560,00029560,0.93,1.98
00000043,00039142,00033381,00047338,00029560,00029560,0.94,1.96
00000044,00038688,00032824,00046350,00029560,00029560,0.93,1.95
00000045,00039301,00033792,00044866,00029560,00029560,0.92,1.89
00000046,00038720,00031820,00046203,00029560,00029560,0.93,1.89
00000047,00038323,00030104,00047176,00029560,00029560,0.92,1.89
00000048,00038791,00033593,00043869,00029560,00029560,0.94,1.89
00000049,00039279,00032478,00045770,00029560,00029560,0.94,1.88
00000050,00037811,00032109,00043120,00029560,00029560,0.93,2.04
00000051,00037896,00031210,00044374,00029560,00029560,0.93,2.02
00000052,00039034,00033739,00044111,00029560,00029560,0.94,2.01
00000053,00039167,00032633,00049661,00029560,00029560,0.94,1.93
00000054,00038953,00033897,00048618,00029560,00029560,0.94,1.91
00000055,00039685,00029804,00046341,00029560,00029560,0.93,1.84
00000056,00039140,00031251,00048462,00029560,00029560,0.94,1.83
00000057,00039885,00035113,00046727,00029560,00029560,0.92,1.80
00000058,00038231,00029545,00045983,00029545,00029545,0.92,1.92
00000059,00039544,00034241,00045016,00029545,00029545,0.93,1.97
00000060,00038793,00032190,00048990,00029545,00029545,0.93,1.97
00000061,00038966,00031128,00047193,00029545,00029545,0.93,1.97
00000062,00038030,00029336,00049066,00029336,00029336,0.93,2.09
00000063,00038504,00025844,00047774,00025844,00025844,0.93,2.17
00000064,00038647,00032260,00046224,00025844,00025844,0.93,2.18
00000065,00037776,00031310,00045651,00025844,00025844,0.92,2.17
00000066,00039505,00035125,00049028,00025844,00025844,0.94,2.16
00000067,00038601,00031373,00046220,00025844,00025844,0.93,2.16
00000068,00037780,00033054,00042671,00025844,00025844,0.94,2.13
