iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00097384,00083485,00117188,00083397,0.93,0.82,00081512,00084174,00083157,00084226,00081554,00081142,00082104,00083368,00084414,00086576,00080593,00084267,00083657,00094030,00083526,00082083,00078669,00082341,00084639,00081666,00086021,00083618,00081211,00087469,00082178,00083550,00084939,00085895,00083373,00075962
00000002,00092193,00080286,00111092,00080182,0.88,0.65,00078971,00080175,00083036,00081248,00078337,00077793,00082104,00080886,00084067,00077796,00075383,00079516,00079148,00092369,00079117,00078941,00075573,00080225,00083495,00079150,00080599,00077731,00077852,00081504,00077207,00082022,00084939,00084429,00077308,00074550
00000003,00086430,00077701,00103773,00077700,0.70,0.57,00076062,00075559,00080752,00079221,00074395,00076225,00081693,00078803,00079593,00075414,00075195,00072058,00079148,00090109,00075466,00077825,00074390,00074975,00079029,00076663,00080599,00076771,00075090,00077143,00076401,00079005,00081247,00083750,00075379,00073068
00000004,00082379,00076269,00099912,00076268,0.54,0.56,00074699,00075331,00077170,00078006,00073954,00075802,00079005,00077761,00079593,00072243,00072661,00072058,00075840,00087191,00073759,00077793,00073853,00074766,00078607,00075312,00079575,00074282,00072803,00076513,00076401,00076913,00080535,00081762,00071931,00071937
00000005,00080755,00075514,00098270,00075514,0.50,0.57,00072892,00073521,00077170,00078006,00073954,00073751,00077374,00077761,00078366,00072144,00071871,00071318,00075840,00086705,00072824,00076722,00071788,00074766,00078493,00075312,00079191,00072851,00072444,00076513,00076401,00074314,00078129,00081144,00071931,00071937
00000006,00080229,00074924,00097918,00074924,0.47,0.58,00071408,00072392,00077170,00076294,00073213,00072323,00075952,00076103,00078201,00072144,00071390,00070827,00075257,00086705,00072824,00076722,00070593,00073721,00078493,00075312,00078705,00072851,00071969,00075768,00075070,00074314,00077684,00081144,00071841,00071339
00000007,00079699,00074566,00097860,00074565,0.47,0.59,00071408,00071427,00076532,00076294,00073213,00072323,00075832,00076103,00078201,00072026,00071106,00070647,00075018,00085297,00072824,00076722,00068885,00073721,00078152,00074627,00078705,00072711,00071969,00075768,00075070,00073075,00076358,00081144,00071364,00070454
00000008,00080102,00074337,00098325,00074336,0.50,0.58,00071408,00070423,00076532,00076294,00073213,00072323,00074954,00075196,00077821,00072026,00071106,00069544,00075018,00085193,00072824,00076722,00068885,00073571,00078152,00074627,00078705,00071993,00071969,00075768,00075070,00073075,00074904,00080971,00071364,00070454
00000009,00079613,00074008,00098161,00074007,0.49,0.58,00071408,00070066,00076282,00076253,00072713,00072323,00074954,00074107,00077821,00072026,00070981,00068290,00074913,00085193,00072824,00075684,00068250,00073571,00077888,00074053,00078388,00071739,00071969,00075484,00073952,00073075,00074904,00079904,00070761,00070454
00000010,00079287,00073685,00097046,00073684,0.48,0.58,00071408,00070066,00075735,00075528,00072713,00072323,00074954,00074107,00077821,00071504,00070632,00067613,00074913,00084688,00072824,00073266,00067947,00073481,00077888,00073635,00077098,00071739,00071969,00075484,00073952,00072933,00074904,00079904,00070169,00069350
