iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00060971,00054340,00069710,00054326,0.98,0.84,00054930,00056080,00053333,00053486,00054097,00054511,00055629,00053120,00056641,00054647,00054142,00057142,00051919,00052849,00053126,00055643,00054810,00054792,00055010,00054585,00053675,00053330,00055395,00055396,00054491,00053444,00053647,00054419,00054297,00051209
00000002,00059472,00053038,00068714,00052952,0.96,0.70,00053956,00054400,00050655,00052147,00052172,00051911,00053014,00052223,00053527,00052120,00053209,00053796,00051919,00051462,00052726,00055452,00053593,00052458,00054495,00051809,00053675,00053330,00054783,00053775,00053696,00053431,00052591,00053535,00052378,00050337
00000003,00057393,00051900,00065859,00051735,0.92,0.57,00052196,00052614,00050125,00050672,00051325,00051911,00050767,00050567,00052232,00052120,00049878,00051782,00050867,00051462,00051465,00055284,00052371,00051653,00052165,00051809,00053304,00050150,00052208,00051185,00053696,00053431,00050613,00051507,00052378,00050337
00000004,00054786,00051105,00062949,00051104,0.74,0.54,00051651,00052533,00050116,00050672,00050245,00051911,00049058,00050449,00051675,00051724,00049085,00051782,00050151,00050463,00050958,00055284,00052146,00049565,00051782,00050022,00052800,00049344,00051290,00051103,00052770,00052657,00050390,00050065,00051294,00050156
00000005,00053209,00050612,00060638,00050611,0.58,0.58,00051045,00051838,00050116,00050037,00049538,00051310,00048867,00050087,00050743,00051524,00049039,00051212,00048961,00050165,00049192,00054495,00051130,00049565,00051562,00050022,00052044,00049250,00050419,00050650,00052770,00052097,00050064,00049873,00051131,00049612
00000006,00052665,00050240,00059640,00050239,0.54,0.59,00051045,00051583,00049472,00049542,00049386,00051195,00048867,00049459,00049805,00051512,00048842,00050744,00047782,00049593,00049030,00053522,00049988,00049565,00050518,00050022,00051371,00049250,00050419,00050310,00052770,00051771,00050041,00049764,00051082,00048922
00000007,00052470,00049852,00060471,00049847,0.56,0.59,00050208,00051583,00049292,00049275,00049197,00050959,00048867,00049459,00049805,00051241,00047799,00050644,00047782,00049593,00047930,00052933,00048346,00048227,00050518,00050022,00051371,00049250,00050115,00050310,00052770,00050675,00049184,00049536,00050549,00047992
00000008,00052251,00049634,00060582,00049624,0.55,0.59,00050208,00050547,00047789,00049147,00049197,00049956,00048530,00049289,00049805,00051241,00047799,00050644,00047782,00049593,00047930,00052766,00048169,00048159,00050227,00049706,00051371,00049250,00050037,00050019,00052760,00050529,00048734,00049456,00050549,00047538
00000009,00051815,00049476,00060048,00049476,0.51,0.59,00050110,00049941,00047414,00049147,00049197,00049956,00048530,00049289,00049805,00051241,00047799,00050644,00047782,00049194,00047398,00052766,00048169,00048159,00050095,00048699,00051371,00049250,00050037,00050019,00052760,00050529,00048442,00048544,00050461,00047538
00000010,00051794,00049340,00059439,00049340,0.52,0.60,00049655,00049725,00047414,00048844,00049197,00049946,00048356,00049289,00049796,00051101,00047695,00050644,00047782,00049194,00047296,00052766,00048169,00048159,00050095,00048699,00051371,00049250,00049667,00050019,00052681,00049635,00048442,00048055,00049848,00047410
00000011,00051489,00049175,00059753,00049175,0.50,0.59,00049565,00049725,00047414,00048844,00049197,00049235,00047826,00049122,00049573,00051101,00047078,00050600,00047475,00049010,00047296,00052436,00048157,00048159,00050095,00048699,00050647,00048853,00049063,00050019,00052681,00049635,00048442,00048055,00049848,00047410
