iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00037738,00035325,00042432,00034891,0.83,0.00,00035648,00033595,00035376,00033776,00034559,00033548,00035268,00034453,00034886,00034794,00034302,00034691,00033055,00035261,00035378,00034845,00035495,00035619,00035282,00033772,00035214,00035982,00035644,00035901,00034986,00034540,00034976,00035120,00035427,00035360
00000002,00036781,00034370,00041749,00034033,0.75,0.00,00034080,00033137,00033380,00033776,00033158,00033075,00033980,00034274,00033241,00033945,00034302,00033051,00032439,00034364,00034327,00034530,00034475,00035582,00032335,00033387,00034908,00035150,00034795,00035513,00034105,00034387,00033378,00034792,00034363,00034782
00000003,00036263,00033857,00041084,00033596,0.73,0.00,00033370,00033075,00032945,00033629,00032851,00033075,00033675,00032802,00032506,00033945,00034302,00032747,00032045,00033998,00033165,00034076,00033894,00034559,00031759,00032915,00034292,00033880,00034795,00035337,00033711,00034005,00033363,00034792,00034274,00034121
00000004,00036041,00033463,00041041,00033231,0.71,0.00,00032272,00032974,00032857,00033577,00032640,00033075,00033302,00032692,00032052,00033913,00033566,00032343,00031561,00033782,00032188,00033629,00033071,00033705,00031657,00032817,00033449,00033090,00034795,00034746,00033385,00033588,00033363,00034792,00034197,00033864
00000005,00035815,00033155,00040975,00032907,0.71,0.00,00031639,00032676,00032423,00033407,00032411,00032342,00032968,00032515,00032052,00033913,00032748,00031445,00031232,00032990,00032188,00033629,00032996,00033144,00031115,00032817,00033284,00032667,00034795,00034746,00032897,00033100,00033363,00034792,00033058,00033864
00000006,00035573,00032868,00041015,00032705,0.70,0.00,00031587,00032135,00031891,00033407,00032411,00031979,00032692,00032514,00031623,00033625,00032172,00030955,00031232,00032693,00032088,00033629,00032898,00032535,00030814,00032735,00033284,00032499,00034716,00034605,00032795,00033094,00033257,00034792,00032630,00033864
00000007,00035361,00032644,00041059,00032508,0.71,0.00,00031564,00032135,00031388,00033407,00032381,00031974,00032376,00032058,00031372,00033625,00031736,00030465,00031171,00032483,00031908,00033629,00032562,00032367,00030544,00032735,00033010,00032467,00034716,00034045,00032121,00033014,00032901,00034792,00032630,00033693
00000008,00035264,00032518,00040365,00032364,0.69,0.00,00031441,00032135,00031388,00033407,00032127,00031974,00032159,00031849,00031372,00033421,00031736,00030465,00031074,00032253,00031908,00033611,00032562,00031832,00030362,00032278,00032612,00032015,00034591,00034045,00032017,00032945,00032901,00034792,00032338,00033322
00000009,00035012,00032299,00040328,00032214,0.69,0.00,00031408,00031962,00031388,00033407,00032081,00031974,00032052,00031523,00031372,00033057,00031736,00030159,00031074,00032047,00031908,00033528,00032562,00031770,00030270,00032278,00032153,00032015,00034217,00033891,00031266,00032721,00032901,00034642,00032228,00032850
00000010,00034840,00032200,00040625,00032092,0.68,0.00,00031341,00031645,00031388,00033407,00031485,00031974,00032052,00031377,00031372,00032863,00031736,00030159,00030987,00031978,00031908,00033502,00031995,00031770,00030184,00032278,00031814,00031998,00033983,00033671,00031180,00032721,00032790,00034474,00032228,00032512
00000011,00034774,00032046,00040260,00031911,0.69,0.00,00031248,00031265,00031279,00032035,00031259,00031974,00031857,00031377,00031372,00032831,00031564,00029936,00030987,00031830,00031908,00033502,00031764,00031563,00030154,00032267,00031814,00031943,00033665,00033136,00031180,00032582,00032554,00033858,00032228,00032411
00000012,00034573,00031877,00039961,00031786,0.68,0.00,00031200,00031130,00030990,00032035,00031076,00031350,00031857,00031349,00031372,00032738,00031510,00029752,00030987,00031608,00031908,00033388,00031764,00031563,00030154,00032021,00031814,00031634,00033331,00032846,00031022,00032582,00032554,00033858,00032228,00031961
00000013,00034497,00031787,00040167,00031670,0.68,0.00,00031200,00030835,00030891,00032035,00031047,00031162,00031857,00031187,00031128,00032718,00031510,00029752,00030987,00031528,00031908,00033262,00031635,00031375,00030154,00032021,00031683,00031530,00033326,00032651,00030993,00032582,00032554,00033406,00032228,00030970
00000014,00034502,00031663,00039824,00031576,0.67,0.00,00030898,00030835,00030663,00031541,00030929,00031162,00031857,00031071,00031126,00032394,00031510,00029699,00030987,00031463,00031908,00032976,00031635,00031375,00030107,00031878,00031683,00031423,00033241,00032558,00030993,00032582,00032408,00033406,00032228,00030767
00000015,00034336,00031556,00039628,00031483,0.65,0.00,00030878,00030835,00030663,00031261,00030915,00031162,00031238,00030860,00031126,00032382,00031510,00029699,00030987,00031463,00031908,00032976,00031635,00031323,00030107,00031778,00031683,00030904,00033241,00032334,00030916,00032571,00032408,00033171,00031855,00030723
00000016,00034320,00031516,00040011,00031402,0.68,0.00,00030878,00030822,00030591,00031063,00030535,00031162,00031165,00030239,00031126,00032382,00031510,00029625,00030987,00031230,00031908,00032848,00031626,00031323,00030081,00031778,00031603,00030631,00033237,00032334,00030916,00032380,00032408,00033105,00031855,00030723
00000017,00034239,00031400,00039446,00031338,0.69,0.00,00030837,00030822,00030591,00031063,00030535,00031162,00031165,00030239,00031126,00032090,00031494,00029559,00030909,00031152,00031681,00032718,00031626,00031323,00030003,00031778,00031603,00030568,00033050,00032334,00030916,00032091,00032370,00032830,00031855,00030650
00000018,00034206,00031306,00039825,00031224,0.68,0.00,00030837,00030822,00030558,00031063,00030535,00031162,00031165,00030107,00031126,00032016,00031017,00029367,00030909,00031082,00031487,00032067,00031626,00031317,00030003,00031593,00031603,00030241,00032998,00032334,00030916,00032091,00031995,00032325,00031855,00030505
00000019,00034204,00031214,00039791,00031198,0.68,0.00,00030837,00030673,00030391,00031031,00030535,00031162,00031165,00030107,00031126,00032016,00031017,00029323,00030831,00031082,00031487,00032067,00031519,00031317,00030003,00031593,00031603,00030241,00032998,00032334,00030916,00032091,00031995,00032325,00031658,00030505
00000020,00034115,00031177,00039703,00031147,0.68,0.00,00030697,00030673,00030305,00031009,00030535,00031162,00031105,00030107,00031126,00032016,00031017,00029140,00030831,00031082,00031468,00032067,00031481,00031317,00030003,00031593,00031597,00030141,00032998,00032240,00030916,00031949,00031415,00032325,00031658,00030442
