iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00042970,00039001,00048178,00039001,0.98,0.79,00038971,00037024,00039138,00039558,00039383,00036922,00039330,00039833,00040262,00039011,00039664,00039650,00038693,00039051,00038274,00038542,00038101,00040651,00038959,00039900,00039445,00038418,00038766,00038668,00039246,00038223,00039505,00039166,00039440,00038237
00000002,00041795,00038230,00047354,00038134,0.96,0.65,00038027,00037024,00038728,00037466,00038392,00036922,00039330,00039112,00038440,00037961,00038623,00038408,00038628,00037104,00038274,00037674,00037100,00038130,00038909,00038298,00039392,00038418,00037235,00037510,00039163,00038125,00038700,00038147,00037420,00037388
00000003,00040286,00037214,00045208,00037128,0.89,0.57,00037353,00036787,00037580,00037466,00037401,00036922,00038322,00037477,00037334,00035586,00037910,00037016,00037655,00035609,00036812,00037508,00036098,00036609,00037894,00037484,00037043,00037939,00037235,00036306,00036932,00036437,00037432,00037712,00037420,00036585
00000004,00038537,00036585,00043379,00036572,0.64,0.56,00036988,00036345,00037205,00036570,00037023,00036577,00038148,00036837,00035749,00035586,00036782,00036148,00037135,00034790,00036634,00036189,00035757,00035721,00037018,00037417,00036944,00037379,00037019,00035806,00036091,00035820,00036708,00037166,00037420,00036212
00000005,00037818,00036302,00042970,00036290,0.52,0.60,00036868,00035683,00037063,00036474,00036312,00036510,00037911,00036705,00035245,00035216,00036433,00035850,00036148,00034648,00036411,00036037,00035757,00035432,00036688,00037338,00036294,00036979,00036590,00035806,00036091,00035684,00036501,00036747,00037332,00035974
00000006,00037400,00036160,00042413,00036159,0.45,0.61,00036728,00035598,00036866,00036474,00035917,00036510,00037911,00036695,00034980,00035216,00036087,00035823,00036148,00034624,00036400,00035987,00035728,00035296,00036533,00036839,00036176,00036789,00036506,00035636,00036091,00035386,00036476,00036553,00036955,00035853
00000007,00037190,00036037,00042035,00036034,0.45,0.61,00036639,00035437,00036866,00036307,00035855,00036265,00037882,00036490,00034907,00035216,00035842,00035823,00036026,00034624,00036253,00035661,00035728,00035041,00036533,00036753,00035966,00036170,00036506,00035483,00035959,00035115,00036476,00036553,00036955,00035695
00000008,00037194,00035885,00042381,00035884,0.47,0.61,00036586,00035316,00036615,00036031,00035625,00036094,00037882,00036266,00034472,00035036,00035842,00035818,00036017,00034428,00035979,00035238,00035728,00035041,00036533,00036726,00035847,00036170,00036342,00035410,00035911,00034345,00036476,00036317,00036924,00035525
00000009,00037091,00035744,00042318,00035742,0.45,0.60,00036095,00035316,00036244,00035503,00035479,00036034,00037859,00035691,00034472,00035036,00035842,00035550,00035920,00034230,00035957,00035170,00035728,00035026,00036412,00036636,00035768,00036170,00036246,00035410,00035715,00034345,00036281,00036317,00036924,00034910
00000010,00036911,00035632,00041834,00035631,0.47,0.60,00035879,00035316,00036098,00035503,00035424,00036018,00037859,00035422,00033895,00034935,00035842,00035550,00035879,00033981,00035728,00035170,00035379,00035026,00036412,00036600,00035648,00036170,00036246,00035181,00035715,00034345,00036113,00036286,00036825,00034514
