iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00058740,00048896,00069831,00048896,00048896,0.95,0.51
00000002,00059100,00048114,00070729,00047197,00047197,0.95,0.78
00000003,00058774,00048922,00070499,00046749,00046749,0.95,0.91
00000004,00058826,00047944,00069305,00045959,00045959,0.95,1.05
00000005,00058891,00047975,00070192,00045576,00045576,0.95,1.13
00000006,00058901,00048335,00069729,00045205,00045205,0.95,1.20
00000007,00058785,00048395,00069935,00045013,00045013,0.95,1.25
00000008,00058716,00048471,00069568,00045000,00045000,0.95,1.28
00000009,00058767,00048279,00069726,00044808,00044808,0.95,1.31
00000010,00058382,00047406,00069177,00044478,00044478,0.95,1.38
00000011,00058447,00047385,00069874,00044016,00044016,0.95,1.42
00000012,00058359,00048591,00068566,00043864,00043864,0.95,1.45
00000013,00058615,00048142,00070138,00043821,00043821,0.95,1.46
00000014,00058655,00047890,00069943,00043647,00043647,0.95,1.49
00000015,00058172,00047873,00070228,00043407,00043407,0.95,1.52
00000016,00058018,00048249,00068396,00043407,00043407,0.95,1.50
00000017,00058086,00047931,00069922,00043381,00043381,0.95,1.47
00000018,00057832,00047603,00068416,00043298,00043298,0.95,1.48
00000019,00058141,00047487,00068774,00043298,00043298,0.95,1.43
00000020,00058009,00047473,00069181,00043130,00043130,0.95,1.44
00000021,00057943,00047529,00069164,00043050,00043050,0.95,1.44
00000022,00057502,00046244,00069259,00042919,00042919,0.95,1.45
00000023,00057746,00047790,00068679,00042919,00042919,0.95,1.41
00000024,00057540,00047597,00068233,00042754,00042754,0.95,1.41
00000025,00057635,00047815,00067810,00042599,00042599,0.95,1.65
00000026,00057719,00047131,00068817,00042521,00042521,0.95,1.62
00000027,00057700,00047429,00069592,00042378,00042378,0.95,1.58
00000028,00057390,00047222,00068907,00042378,00042378,0.95,1.56
00000029,00057041,00047143,00068354,00042366,00042366,0.95,1.53
00000030,00057290,00046423,00069026,00042331,00042331,0.95,1.50
00000031,00057382,00046835,00068339,00042292,00042292,0.94,1.49
